name,price,type,efficiency,wattage,modular,color
Asus ROG Strix Aura Edition,154.99,ATX,gold,750,Full,Black
Antec CSK,80.55,ATX,bronze,650,false,Black / Yellow
SHARKOON SilentStorm Cool Zero 750,138.65,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 G6,116.33,ATX,gold,650,Full,Black
NZXT E850,109.99,ATX,gold,850,Full,Black
Thermaltake Toughpower PF3-L,209.99,ATX,platinum,1200,Full,Black
Cooler Master V850 Gold V2,202.25,ATX,gold,850,Full,Black
Thermaltake Smart BX1 550,96.0,ATX,bronze,550,false,Black
Silverstone HELA 850R,223.07,ATX,platinum,850,Full,Black / Silver
Enermax Revolution D.F. X,110.93,ATX,gold,1200,Full,Black
SeaSonic PRIME PX,519.0,ATX,platinum,1000,Full,Black / Silver
Cooler Master XG750 Plus,120.99,ATX,platinum,750,Full,Black
Enermax REVOLUTION D.F. 2,106.99,ATX,gold,850,Full,Black
ADATA XPG Core Reactor II,87.99,ATX,gold,650,Full,Black
SHARKOON SilentStorm Cool Zero 650,124.76,ATX,gold,650,Full,Black
SeaSonic PRIME,129.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 P6,408.2,ATX,platinum,1000,Full,Black / Silver
Super Flower Leadex V Pro,299.99,ATX,platinum,1000,Full,White
Cooler Master MasterWatt,110.0,ATX,bronze,750,Semi,Black
Cougar GEX,109.99,ATX,gold,850,Full,Black
Corsair RM750x White,349.0,ATX,gold,750,Full,White / Black
Thermaltake Toughpower GF1 PE,123.95,ATX,gold,750,Full,Black
EVGA SuperNOVA 750 G7,134.99,ATX,gold,750,Full,Black / Blue
be quiet! Straight Power 11,168.48,ATX,platinum,750,Full,Black
BitFenix BFG GOLD ATX3.0,99.9,ATX,gold,850,Full,Black
SeaSonic PRIME,223.11,ATX,gold,1000,Full,Black
Super Flower LEADEX VII XG,219.99,ATX,gold,1000,Full,White
Silverstone Essential,60.57,ATX,bronze,550,false,Black
MSI MPG A750G PCIE5,139.99,ATX,gold,750,Full,Black
SeaSonic PRIME,109.99,ATX,gold,750,Full,Black
Antec NE850G M ATX3.0,152.15,ATX,gold,850,Full,Black
KOLINK Regulator,129.99,ATX,gold,850,Full,Black
Cougar VTE X2,83.98,ATX,plus,750,false,Black
Antec Signature Platinum,177.52,ATX,platinum,1000,Full,Black
Silverstone Strider Platinum S,269.99,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 650 G7,94.99,ATX,gold,650,Full,Black / Blue
Razer Katana Chroma,274.1,ATX,platinum,850,Full,Black
SeaSonic VERTEX GX-750,109.99,ATX,gold,750,Full,Black / Silver
Gigabyte UD1000GM PG5,187.14,ATX,gold,1000,Full,Black
"FSP Group Hydro PTM X PRO,Gen5",170.0,ATX,platinum,1000,Full,Black
Cooler Master GX III GOLD,155.63,ATX,gold,750,Full,Black / Purple
EVGA SuperNOVA G FTW,169.99,ATX,gold,1000,Full,Black
Azza ARGB,64.98,ATX,bronze,650,false,Black
ADATA XPG Core Reactor II,159.99,ATX,gold,1200,Full,Black
Enermax Revolution D.F.,106.99,ATX,gold,750,Full,Black / Silver
"FSP Group Hydro PTM X PRO,Gen5",249.99,ATX,platinum,1200,Full,Black
SeaSonic S12III,119.0,ATX,bronze,550,false,Black
SeaSonic PRIME PX,169.99,ATX,platinum,750,Full,Black / Silver
Thermaltake Toughpower Grand RGB Platinum,329.95,ATX,platinum,1200,Full,Black
be quiet! Dark Power 12,292.89,ATX,titanium,750,Full,Black
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full,Black / Gold
NZXT C (2019),109.98,ATX,gold,750,Full,Black
Super Flower Leadex III ARGB,167.99,ATX,gold,850,Full,White
"FSP Group Hydro PTM X PRO,Gen5",143.76,ATX,platinum,850,Full,Black
Enermax REVOLUTION D.F. 2,106.99,ATX,gold,1200,Full,Black
Gigabyte UD-GM PG5,160.99,ATX,gold,850,Full,Black
Thermaltake Toughpower PF3-L,149.99,ATX,platinum,850,Full,Black
SeaSonic PRIME Ultra Gold 750,109.99,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 P6,140.11,ATX,platinum,650,Full,Black / Silver
Super Flower LEADEX VII Platinum PRO,269.99,ATX,platinum,1200,Full,Black
Cooler Master MWE Bronze 550,132.19,ATX,bronze,550,false,Black
"FSP Group Hydro PTM PRO,Gen5",269.99,ATX,platinum,1200,Full,Black
Super Flower LEADEX VII Platinum PRO,229.99,ATX,platinum,1000,Full,Black
Deepcool DQ-M-V2L,179.19,ATX,gold,850,Full,Black / Green
be quiet! Pure Power 11 FM 850,299.89,ATX,gold,850,Full,Black
SHARKOON SilentStorm Cool Zero 850,168.81,ATX,gold,850,Full,Black
Deepcool PX1000P,229.99,ATX,platinum,1000,Full,Black / Silver
Deepcool PQ650M,128.98,ATX,gold,650,Full,Black
Cougar BXM750,97.62,ATX,bronze,750,Semi,Orange / Black
Enermax Revolution D.F. 12,149.99,ATX,gold,850,Full,White
Chieftec ATMOS,149.15,ATX,gold,750,Full,Black
Silverstone Essential,94.39,ATX,gold,750,false,Black / Yellow
SeaSonic VERTEX PX-750,179.99,ATX,platinum,750,Full,Black / Silver
EVGA SuperNOVA G FTW,114.99,ATX,gold,850,Full,Black
Antec EARTHWATTS GOLD PRO 750,172.8,ATX,gold,750,Semi,Black
ADATA XPG CYBERCORE II,209.99,ATX,platinum,1000,Full,Black
Fractal Design Ion Gold,142.27,ATX,gold,650,Full,Black
KOLINK Regulator,149.99,ATX,gold,1000,Full,Black
Super Flower Leadex V Platinum Pro,169.99,ATX,platinum,850,Full,White
SeaSonic PRIME Ultra Gold 850,129.99,ATX,gold,850,Full,Black
Silverstone Essential,91.23,ATX,gold,750,Semi,Black / Blue
Enermax PlatiGemini,249.99,ATX,platinum,1200,Full,Black
Silverstone ST75F-GS-V3,98.5,ATX,gold,750,Full,Black
Xilence XP550R9,134.0,ATX,gold,550,false,Black / Red
Xilence XP850MR9,139.01,ATX,gold,850,Semi,Black / Red
Thermaltake Toughpower PF1 - TT Premium Edition,224.99,ATX,platinum,750,Full,Black
SeaSonic PRIME Ultra Platinum 750,169.99,ATX,platinum,750,Full,Black
FSP Group Hydro PTM PRO,179.99,ATX,platinum,1000,Full,Black
KOLINK Regulator,169.99,ATX,gold,1200,Full,Black
Chieftec Polaris,233.85,ATX,gold,550,Full,Black
Thermaltake Toughpower GF2 ARGB,144.99,ATX,gold,750,Full,Black
Silverstone Essential,119.99,ATX,gold,650,false,Black
ADATA XPG CYBERCORE,189.99,ATX,platinum,1000,Full,Black / Silver
YEYIAN Raiden RGB,69.98,ATX,bronze,650,false,Black
Phanteks Revolt Pro,380.0,ATX,gold,850,Full,Silver / Black
