name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram
Corsair Dominator Platinum RGB 64 GB,224.99,5600,14.286,40.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Vulcan 32 GB,92.99,5600,11.429,32.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,5600,11.429,32.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro 64 GB,149.99,3200,10.0,16.0,2.0,32.0,4,64.0
Kingston FURY Beast RGB 16 GB,81.99,6000,13.333,40.0,2.0,8.0,5,16.0
Corsair Vengeance RGB 64 GB,207.99,6000,13.333,40.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Delta RGB 32 GB,121.99,7200,9.444,34.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 16 GB,46.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Dominator Titanium 48 GB,279.99,7600,9.474,36.0,2.0,24.0,5,48.0
Corsair Vengeance RGB 64 GB,279.99,6000,12.0,36.0,4.0,16.0,5,64.0
TEAMGROUP Elite 16 GB,39.99,4800,16.667,40.0,1.0,16.0,5,16.0
Corsair Vengeance LPX 16 GB,54.99,3600,8.889,16.0,2.0,8.0,4,16.0
Corsair Vengeance LPX 32 GB,92.99,3600,10.0,18.0,4.0,8.0,4,32.0
TEAMGROUP T-Create Expert 32 GB,119.99,7200,9.444,34.0,2.0,16.0,5,32.0
Kingston FURY Beast 32 GB,84.99,3600,10.0,18.0,2.0,16.0,4,32.0
G.Skill Trident Z Neo 16 GB,66.98,3600,8.889,16.0,2.0,8.0,4,16.0
Lexar THOR 32 GB,76.03,3200,10.0,16.0,2.0,16.0,4,32.0
OLOy MD4U0836180BHKDA 16 GB,34.97,3600,10.0,18.0,2.0,8.0,4,16.0
Corsair Dominator Titanium 48 GB,249.99,7200,10.0,36.0,2.0,24.0,5,48.0
Crucial CT16G4DFRA32A 16 GB,33.99,3200,13.75,22.0,1.0,16.0,4,16.0
Corsair Dominator Titanium 64 GB,359.99,6400,10.0,32.0,4.0,16.0,5,64.0
TEAMGROUP Elite 16 GB,29.99,3200,13.75,22.0,1.0,16.0,4,16.0
Crucial CT2K16G48C40U5 32 GB,87.66,4800,16.667,40.0,2.0,16.0,5,32.0
Corsair Dominator Titanium 64 GB,289.99,6000,10.0,30.0,2.0,32.0,5,64.0
TEAMGROUP T-Create Expert 32 GB,94.99,6000,12.667,38.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,127.99,6000,12.0,36.0,2.0,16.0,5,32.0
OLOy OWL RGB 16 GB,42.99,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z5 RGB 64 GB,214.99,6000,10.0,30.0,2.0,32.0,5,64.0
Kingston FURY Beast 16 GB,44.85,3200,10.0,16.0,1.0,16.0,4,16.0
Corsair Vengeance LPX 16 GB,41.99,2400,13.333,16.0,2.0,8.0,4,16.0
Corsair Vengeance RGB Pro 16 GB,63.99,3600,10.0,18.0,2.0,8.0,4,16.0
Patriot Signature Premium 16 GB,24.99,2666,14.254,19.0,1.0,16.0,4,16.0
Kingston FURY 32 GB,146.3,6000,13.333,40.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Vulcan Z 64 GB,114.99,3200,10.0,16.0,2.0,32.0,4,64.0
Mushkin Redline ST 64 GB,209.99,6400,9.375,30.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 32 GB,129.99,6400,11.25,36.0,2.0,16.0,5,32.0
G.Skill Trident Z RGB 32 GB,109.99,3200,10.0,16.0,4.0,8.0,4,32.0
Corsair Vengeance RGB RS 16 GB,59.99,3200,10.0,16.0,2.0,8.0,4,16.0
Kingston FURY Beast 16 GB,58.99,5200,15.385,40.0,1.0,16.0,5,16.0
TEAMGROUP T-Force Vulcan 32 GB,96.99,5600,11.429,32.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,67.98,3200,10.0,16.0,2.0,16.0,4,32.0
Lexar Ares RGB 32 GB,165.99,6400,10.0,32.0,2.0,16.0,5,32.0
