name,storage_price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_2
Western Digital Blue SN570,69.99,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Crucial P5 Plus,192.77,2000.0,0.096,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Blue SN570,43.93,500.0,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Lexar NM620,71.45,1000.0,0.071,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Acer Predator GM7000,84.99,1000.0,0.085,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 980 Pro w/Heatsink,183.55,2000.0,0.092,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Samsung 990 Pro w/Heatsink,189.99,2000.0,0.095,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Kingston A400,37.79,480.0,0.079,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Kingston NV2,31.99,250.0,0.128,SSD,,M.2-2280,M.2 PCIe 4.0 X4,250.0 GB
Kingston Fury Renegade,172.99,2000.0,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Patriot P300,58.99,1000.0,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
MSI SPATIUM M480 PRO,84.0,1000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Patriot P300,17.98,128.0,0.14,SSD,,M.2-2280,M.2 PCIe 3.0 X4,128.0 GB
Crucial MX500,159.99,2000.0,0.08,SSD,2048.0,2.5,SATA 6.0 Gb/s,2.0 TB
Leven JPS800,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 980 Pro w/Heatsink,119.99,1000.0,0.12,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Western Digital Black SN770,69.92,500.0,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
TEAMGROUP T-Force Vulcan Z,30.99,512.0,0.061,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
Leven JPS600,101.99,2000.0,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Samsung 980,73.98,500.0,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Kingston A400,61.99,960.0,0.065,SSD,,2.5,SATA 6.0 Gb/s,960.0 GB
TEAMGROUP MS30,33.99,512.0,0.066,SSD,,M.2-2280,M.2 SATA,512.0 GB
Lexar NM790,259.99,4000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Samsung 860 Evo,149.99,1000.0,0.15,SSD,1024.0,2.5,SATA 6.0 Gb/s,1.0 TB
Samsung 970 Evo Plus,61.26,250.0,0.245,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,250.0 GB
Crucial MX500,53.0,500.0,0.106,SSD,512.0,2.5,SATA 6.0 Gb/s,500.0 GB
TEAMGROUP T-Force Vulcan Z,96.99,2000.0,0.048,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Silicon Power UD90,71.98,1000.0,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Silicon Power UD90,214.99,4000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Crucial P3,240.75,4000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,4.0 TB
Corsair MP600 CORE XT,139.99,2000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
TEAMGROUP MP44,123.99,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Solidigm P41 Plus,69.99,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
MSI SPATIUM M450,74.99,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Corsair MP600 CORE XT,77.98,1000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Silicon Power UD85,114.99,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Crucial P5 Plus,138.75,1000.0,0.139,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
ADATA XPG GAMMIX S70 Blade,99.99,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Kingston Fury Renegade,99.99,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Solidigm P41 Plus,117.99,2000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Patriot Burst Elite,13.99,120.0,0.117,SSD,,2.5,SATA 6.0 Gb/s,120.0 GB
Samsung 990 Pro w/Heatsink,119.99,1000.0,0.12,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP MP44,233.99,4000.0,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Lexar NM620,125.17,2000.0,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Crucial BX500,71.14,1000.0,0.071,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
ADATA XPG GAMMIX S70 Blade,149.99,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Corsair MP600 CORE XT,259.99,4000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Western Digital Blue,122.0,1000.0,0.122,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
SK Hynix Platinum P41,94.99,1000.0,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Western Digital Black SN750,76.98,1000.0,0.077,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Samsung 860 Evo,109.99,500.0,0.22,SSD,512.0,2.5,SATA 6.0 Gb/s,500.0 GB
TEAMGROUP MS30,55.99,1000.0,0.056,SSD,,M.2-2280,M.2 SATA,1.0 TB
Samsung 970 Evo,162.9,1000.0,0.163,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Corsair MP600,159.99,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
